prop,season,season_type,player_name,game_date,line,odds_over,odds_under,kelly_multiplier,min_edge,best_over_book,best_under_book,event_id
assists,2025-26,Regular Season,AJ Green,2026-02-13,1.5,-166,124,0.25,0.02,fanduel,fanduel,1c3809071b6a6e313c87dee15e46bdc1
assists,2025-26,Regular Season,Aaron Wiggins,2026-02-13,3.5,-125,-106,0.25,0.02,fanduel,fanduel,1c3809071b6a6e313c87dee15e46bdc1
assists,2025-26,Regular Season,Austin Reaves,2026-02-13,5.5,-130,100,0.25,0.02,draftkings,fanduel,fdb123a858af8d533d901707df45960f
assists,2025-26,Regular Season,Caleb Martin,2026-02-13,2.5,-155,117,0.25,0.02,draftkings,draftkings,fdb123a858af8d533d901707df45960f
assists,2025-26,Regular Season,Cason Wallace,2026-02-13,3.5,-125,-106,0.25,0.02,fanduel,fanduel,1c3809071b6a6e313c87dee15e46bdc1
assists,2025-26,Regular Season,Chet Holmgren,2026-02-13,1.5,-166,124,0.25,0.02,fanduel,fanduel,1c3809071b6a6e313c87dee15e46bdc1
assists,2025-26,Regular Season,Deni Avdija,2026-02-13,5.5,110,-146,0.25,0.02,fanduel,fanduel,ad2db051928cbc4c1ed6a3b861ac4538
assists,2025-26,Regular Season,Donovan Clingan,2026-02-13,1.5,-166,124,0.25,0.02,fanduel,fanduel,ad2db051928cbc4c1ed6a3b861ac4538
assists,2025-26,Regular Season,Isaiah Hartenstein,2026-02-13,4.5,100,-132,0.25,0.02,fanduel,fanduel,1c3809071b6a6e313c87dee15e46bdc1
assists,2025-26,Regular Season,Jerami Grant,2026-02-13,2.5,108,-144,0.25,0.02,fanduel,fanduel,ad2db051928cbc4c1ed6a3b861ac4538
assists,2025-26,Regular Season,Jrue Holiday,2026-02-13,6.5,-112,-118,0.25,0.02,fanduel,fanduel,ad2db051928cbc4c1ed6a3b861ac4538
assists,2025-26,Regular Season,Kevin Porter Jr.,2026-02-13,7.5,116,-154,0.25,0.02,fanduel,fanduel,1c3809071b6a6e313c87dee15e46bdc1
assists,2025-26,Regular Season,Kyle Kuzma,2026-02-13,2.5,-114,-114,0.25,0.02,fanduel,fanduel,1c3809071b6a6e313c87dee15e46bdc1
assists,2025-26,Regular Season,LeBron James,2026-02-13,7.5,-148,116,0.25,0.02,draftkings,fanduel,fdb123a858af8d533d901707df45960f
assists,2025-26,Regular Season,Marcus Smart,2026-02-13,3.5,110,-134,0.25,0.02,fanduel,draftkings,fdb123a858af8d533d901707df45960f
assists,2025-26,Regular Season,Max Christie,2026-02-13,2.5,-120,-110,0.25,0.02,fanduel,fanduel,fdb123a858af8d533d901707df45960f
